TargetProcess,ModuleName,TextSectionSize
C:\Program Files\Sublime Text\sublime_text.exe,sublime_text.exe,5696934
C:\Program Files\Sublime Text\sublime_text.exe,ntdll.dll,1486492
C:\Program Files\Sublime Text\sublime_text.exe,KERNEL32.DLL,543476
C:\Program Files\Sublime Text\sublime_text.exe,KERNELBASE.dll,1718575
C:\Program Files\Sublime Text\sublime_text.exe,apphelp.dll,360865
C:\Program Files\Sublime Text\sublime_text.exe,AcGenral.dll,293980
C:\Program Files\Sublime Text\sublime_text.exe,msvcrt.dll,509769
C:\Program Files\Sublime Text\sublime_text.exe,sechost.dll,447180
C:\Program Files\Sublime Text\sublime_text.exe,SHLWAPI.dll,236875
C:\Program Files\Sublime Text\sublime_text.exe,ucrtbase.dll,1007457
C:\Program Files\Sublime Text\sublime_text.exe,USER32.dll,688110
C:\Program Files\Sublime Text\sublime_text.exe,win32u.dll,48310
C:\Program Files\Sublime Text\sublime_text.exe,GDI32.dll,56758
C:\Program Files\Sublime Text\sublime_text.exe,gdi32full.dll,733884
C:\Program Files\Sublime Text\sublime_text.exe,msvcp_win.dll,331562
C:\Program Files\Sublime Text\sublime_text.exe,ole32.dll,875596
C:\Program Files\Sublime Text\sublime_text.exe,combase.dll,2530466
C:\Program Files\Sublime Text\sublime_text.exe,RPCRT4.dll,867993
C:\Program Files\Sublime Text\sublime_text.exe,advapi32.dll,443160
C:\Program Files\Sublime Text\sublime_text.exe,shcore.dll,623064
C:\Program Files\Sublime Text\sublime_text.exe,SHELL32.dll,5939252
C:\Program Files\Sublime Text\sublime_text.exe,wintypes.dll,660248
C:\Program Files\Sublime Text\sublime_text.exe,USERENV.dll,91420
C:\Program Files\Sublime Text\sublime_text.exe,MPR.dll,75828
C:\Program Files\Sublime Text\sublime_text.exe,SspiCli.dll,140604
C:\Program Files\Sublime Text\sublime_text.exe,IMM32.DLL,118854
C:\Program Files\Sublime Text\sublime_text.exe,COMDLG32.dll,741422
C:\Program Files\Sublime Text\sublime_text.exe,WININET.dll,1923468
C:\Program Files\Sublime Text\sublime_text.exe,OPENGL32.dll,839436
C:\Program Files\Sublime Text\sublime_text.exe,COMCTL32.dll,2002140
C:\Program Files\Sublime Text\sublime_text.exe,dwmapi.dll,99792
C:\Program Files\Sublime Text\sublime_text.exe,UxTheme.dll,429288
C:\Program Files\Sublime Text\sublime_text.exe,GLU32.dll,121595
C:\Program Files\Sublime Text\sublime_text.exe,dxcore.dll,175484
C:\Program Files\Sublime Text\sublime_text.exe,CRYPTBASE.DLL,11206
C:\Program Files\Sublime Text\sublime_text.exe,ninput.dll,379612
C:\Program Files\Sublime Text\sublime_text.exe,OLEAUT32.dll,646878
C:\Program Files\Sublime Text\sublime_text.exe,windows.storage.dll,6605902
C:\Program Files\Sublime Text\sublime_text.exe,MSCTF.dll,1134448
C:\Program Files\Sublime Text\sublime_text.exe,dwrite.dll,1649724
C:\Program Files\Sublime Text\sublime_text.exe,bcryptPrimitives.dll,512297
C:\Program Files\Sublime Text\sublime_text.exe,kernel.appcore.dll,38176
C:\Program Files\Sublime Text\sublime_text.exe,clbcatq.dll,460268
C:\Program Files\Sublime Text\sublime_text.exe,twinapi.dll,600508
C:\Program Files\Sublime Text\sublime_text.exe,XmlLite.dll,198892
C:\Program Files\Sublime Text\sublime_text.exe,ntmarta.dll,142812
C:\Program Files\Sublime Text\sublime_text.exe,TextShaping.dll,322828
C:\Program Files\Sublime Text\sublime_text.exe,dataexchange.dll,244548
C:\Program Files\Sublime Text\sublime_text.exe,twinapi.appcore.dll,1666810
C:\Program Files\Sublime Text\sublime_text.exe,OneCoreUAPCommonProxyStub.dll,44352
C:\Program Files\Sublime Text\sublime_text.exe,dcomp.dll,1648652
C:\Program Files\Sublime Text\sublime_text.exe,Microsoft.Internal.WarpPal.dll,61190
C:\Program Files\Sublime Text\sublime_text.exe,textinputframework.dll,1019148
C:\Program Files\Sublime Text\sublime_text.exe,CoreMessaging.dll,856437
C:\Program Files\Sublime Text\sublime_text.exe,CoreUIComponents.dll,1687376
C:\Program Files\Sublime Text\sublime_text.exe,WINHTTP.dll,881708
C:\Program Files\Sublime Text\sublime_text.exe,WS2_32.dll,289462
C:\Program Files\Sublime Text\sublime_text.exe,CRYPTSP.dll,50189
C:\Program Files\Sublime Text\sublime_text.exe,rsaenh.dll,159342
C:\Program Files\Sublime Text\sublime_text.exe,mswsock.dll,222629
C:\Program Files\Sublime Text\sublime_text.exe,IPHLPAPI.DLL,139296
C:\Program Files\Sublime Text\sublime_text.exe,WINNSI.DLL,15441
C:\Program Files\Sublime Text\sublime_text.exe,NSI.dll,8710
C:\Program Files\Sublime Text\sublime_text.exe,dhcpcsvc6.DLL,31322
C:\Program Files\Sublime Text\sublime_text.exe,dhcpcsvc.DLL,69218
C:\Program Files\Sublime Text\sublime_text.exe,webio.dll,590028
C:\Program Files\Sublime Text\sublime_text.exe,schannel.DLL,623009
C:\Program Files\Sublime Text\sublime_text.exe,ncrypt.dll,117788
C:\Program Files\Sublime Text\sublime_text.exe,NTASN1.dll,91766
C:\Program Files\Sublime Text\sublime_text.exe,bcrypt.dll,111140
C:\Program Files\Sublime Text\sublime_text.exe,ncryptsslp.dll,144240
C:\Program Files\Sublime Text\sublime_text.exe,CRYPT32.dll,1199739
C:\Program Files\Sublime Text\sublime_text.exe,MSASN1.dll,38838
C:\Program Files\Sublime Text\sublime_text.exe,gpapi.dll,111356
C:\Program Files\Sublime Text\sublime_text.exe,DPAPI.DLL,5366